,created_at,favorite_count,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,full_text,cleaned_text,stemmed_text,tokenized_text
11,Thu Mar 13 23:14:43 +0000 2025,0,mas_veel,in,Dipangkuan Ibu Pertiwi,0,0,0,@mas_veel disesatkan pala lu bau menyan...daya beli anjlok pendapatan pajak anjlok phk dimana mana korupsi dimana mana harga harga naek utang gede efisiensi besar besaran itu tanda tanda tekorrr aman aman apanya? disenggol dikit lagi bangkrut nih Republik..bego,disesatkan pala lu bau menyandaya beli anjlok pendapatan pajak anjlok phk dimana korupsi dimana harga harga naek utang gede efisiensi besaran tanda tanda tekorrr aman aman apanya disenggol dikit bangkrut nih republikbego,sesat pala lu bau menyandaya beli anjlok dapat pajak anjlok phk mana korupsi mana harga harga naek utang gede efisiensi besar tanda tanda tekorrr aman aman apa senggol dikit bangkrut nih republikbego,"['sesat', 'pala', 'lu', 'bau', 'menyandaya', 'beli', 'anjlok', 'dapat', 'pajak', 'anjlok', 'phk', 'mana', 'korupsi', 'mana', 'harga', 'harga', 'naek', 'utang', 'gede', 'efisiensi', 'besar', 'tanda', 'tanda', 'tekorrr', 'aman', 'aman', 'apa', 'senggol', 'dikit', 'bangkrut', 'nih', 'republikbego']"
12,Thu Mar 13 23:12:10 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 Tuh kaaannn efisiensi semakin panjang nih. Doi mo bikin penjara soalnya penjara vip.,tuh kaaannn efisiensi nih doi mo bikin penjara penjara vip,tuh kaaannn efisiensi nih doi mo bikin penjara penjara vip,"['tuh', 'kaaannn', 'efisiensi', 'nih', 'doi', 'mo', 'bikin', 'penjara', 'penjara', 'vip']"
13,Thu Mar 13 23:11:27 +0000 2025,0,milskymelon,in,"Melbourne, Victoria",0,1,0,@milskymelon (masih si pink) hmzz pdhal klow 1yeti bungkus pc na kt bgusin tp klo dia msh maksa 900k yh kt selipin sja ntuh pc ke dlam plastik bjunya huh #hemat #efisiensi https://t.co/jpLjvNyoai,si pink hmzz pdhal klow yeti bungkus pc na kt bgusin tp klo msh maksa k yh kt selipin sja ntuh pc dlam plastik bjunya huh,si pink hmzz pdhal klow yeti bungkus pc na kt bgusin tp klo msh maksa k yh kt selipin sja ntuh pc dlam plastik bjunya huh,"['si', 'pink', 'hmzz', 'pdhal', 'klow', 'yeti', 'bungkus', 'pc', 'na', 'kt', 'bgusin', 'tp', 'klo', 'msh', 'maksa', 'k', 'yh', 'kt', 'selipin', 'sja', 'ntuh', 'pc', 'dlam', 'plastik', 'bjunya', 'huh']"
14,Thu Mar 13 23:08:35 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 Lah Kan efisiensi itu untuk danantara alokasi dana kesana ...ya jelas ga ada pengaruh Wong duit rakyat dipakai ga jelas si wowo mana peduli,efisiensi danantara alokasi dana kesana ya ga pengaruh duit rakyat dipakai ga si wowo peduli,efisiensi danantara alokasi dana kesana ya ga pengaruh duit rakyat pakai ga si wowo peduli,"['efisiensi', 'danantara', 'alokasi', 'dana', 'kesana', 'ya', 'ga', 'pengaruh', 'duit', 'rakyat', 'pakai', 'ga', 'si', 'wowo', 'peduli']"
15,Thu Mar 13 23:06:04 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 efisiensi untuk kelas menengah ke bawah doang dah perasaan kelas atas makin gacor,efisiensi kelas menengah doang dah perasaan kelas gacor,efisiensi kelas tengah doang dah asa kelas gacor,"['efisiensi', 'kelas', 'tengah', 'doang', 'dah', 'asa', 'kelas', 'gacor']"
16,Thu Mar 13 23:00:40 +0000 2025,0,InfosuporterID,in,,0,0,0,@InfosuporterID Efisiensi taweekk,efisiensi taweekk,efisiensi taweekk,"['efisiensi', 'taweekk']"
17,Thu Mar 13 22:59:51 +0000 2025,0,,in,20+,0,0,0,oalah pantes Indonesia lagi krisis begini lu bilang selamat? ulah presiden lu noh efisiensi dimana mana,oalah pantes indonesia krisis lu bilang selamat ulah presiden lu noh efisiensi dimana,oalah pantes indonesia krisis lu bilang selamat ulah presiden lu noh efisiensi mana,"['oalah', 'pantes', 'indonesia', 'krisis', 'lu', 'bilang', 'selamat', 'ulah', 'presiden', 'lu', 'noh', 'efisiensi', 'mana']"
18,Thu Mar 13 22:57:39 +0000 2025,4,MrOngDedy,in,"Jakarta Capital Region, Indone",0,1,0,@MrOngDedy padahal klo pola pikirnya dibalik software itu untuk efisiensi menghindari fraud dia akan melihat itu g ada biaya,klo pola pikirnya dibalik software efisiensi menghindari fraud g biaya,klo pola pikir balik software efisiensi hindar fraud g biaya,"['klo', 'pola', 'pikir', 'balik', 'software', 'efisiensi', 'hindar', 'fraud', 'g', 'biaya']"
19,Thu Mar 13 22:55:38 +0000 2025,0,,in,"Talawi, Indonesia",0,0,0,kan lg efisiensi kok bikin infrastruktur ,lg efisiensi bikin infrastruktur,lg efisiensi bikin infrastruktur,"['lg', 'efisiensi', 'bikin', 'infrastruktur']"
20,Thu Mar 13 22:47:37 +0000 2025,0,,in,(she/her) doppu,0,0,0,busett kampus gue malah kena efisiensi dari kem*nag,busett kampus gue kena efisiensi kemnag,busett kampus gue kena efisiensi kemnag,"['busett', 'kampus', 'gue', 'kena', 'efisiensi', 'kemnag']"
21,Thu Mar 13 22:44:24 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 Efisiensi harusnya penghematan dmn2 yg dirasa/dipastikan kurang/tdk perlu spt: 1. Kabinet gemuk. Sesuaikan saja dulu sama yg prioritas. 2. Wamen. Cukup menteri &amp; kementerian. 3. Program2 gak jelas. Harusnya bikin Repelita/Pelita seperti zaman Orde Baru agar pembangunan terarah.,efisiensi penghematan dmn yg dirasadipastikan kurangtdk spt kabinet gemuk sesuaikan yg prioritas wamen menteri amp kementerian program gak bikin repelitapelita zaman orde pembangunan terarah,efisiensi hemat dmn yg dirasadipastikan kurangtdk spt kabinet gemuk sesuai yg prioritas wamen menteri amp menteri program gak bikin repelitapelita zaman orde bangun arah,"['efisiensi', 'hemat', 'dmn', 'yg', 'dirasadipastikan', 'kurangtdk', 'spt', 'kabinet', 'gemuk', 'sesuai', 'yg', 'prioritas', 'wamen', 'menteri', 'amp', 'menteri', 'program', 'gak', 'bikin', 'repelitapelita', 'zaman', 'orde', 'bangun', 'arah']"
22,Thu Mar 13 22:44:10 +0000 2025,0,tempodotco,in,Indonesia,0,0,0,@tempodotco Efisiensi untuk kebijakan rakyat Sedangkan yg diatas bagi bagi kuwe kekuasaan,efisiensi kebijakan rakyat yg diatas kuwe kekuasaan,efisiensi bijak rakyat yg atas kuwe kuasa,"['efisiensi', 'bijak', 'rakyat', 'yg', 'atas', 'kuwe', 'kuasa']"
23,Thu Mar 13 22:42:20 +0000 2025,0,Andrianzaruddi1,in,,0,0,0,@Andrianzaruddi1 @geloraco Efisiensi bgt sih inii,efisiensi bgt sih inii,efisiensi bgt sih ini,"['efisiensi', 'bgt', 'sih', 'ini']"
24,Thu Mar 13 22:36:52 +0000 2025,0,tariganjhon,in,Indonesia,0,1,0,@tariganjhon @detikcom lah efisiensi itu apa gak ekstrem bang? ,efisiensi gak ekstrem bang,efisiensi gak ekstrem bang,"['efisiensi', 'gak', 'ekstrem', 'bang']"
25,Thu Mar 13 22:31:56 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 Ya gimana gak tekor tuh efisiensi yang harusnya masuk kas negara ini malah masuk kantong pribadi.,ya gimana gak tekor tuh efisiensi masuk kas negara masuk kantong pribadi,ya gimana gak tekor tuh efisiensi masuk kas negara masuk kantong pribadi,"['ya', 'gimana', 'gak', 'tekor', 'tuh', 'efisiensi', 'masuk', 'kas', 'negara', 'masuk', 'kantong', 'pribadi']"
26,Thu Mar 13 22:31:11 +0000 2025,0,NenkMonica,in,,0,0,0,@NenkMonica @univ_indonesia pecat rektornya. kita lagi bersih2 dan efisiensi. gaji gede otak tolol. pecat ASN bangsat,pecat rektornya bersih efisiensi gaji gede otak tolol pecat asn bangsat,pecat rektor bersih efisiensi gaji gede otak tolol pecat asn bangsat,"['pecat', 'rektor', 'bersih', 'efisiensi', 'gaji', 'gede', 'otak', 'tolol', 'pecat', 'asn', 'bangsat']"
27,Thu Mar 13 22:29:20 +0000 2025,0,hrdbacot,in,,0,0,0,@hrdbacot Efek efisiensi ramadhan biasanya pemerintah kasi stimulus kali ini engga mereka engga peduli daya beli turun sektor riil kelabakan umkm pada rugi. Antara engga peduli atau bodoh aja. Lihat Nanti after lebaran kaya apa.,efek efisiensi ramadhan pemerintah kasi stimulus kali engga engga peduli daya beli turun sektor riil kelabakan umkm rugi engga peduli bodoh aja lihat after lebaran kaya,efek efisiensi ramadhan perintah kasi stimulus kali engga engga peduli daya beli turun sektor riil laba umkm rugi engga peduli bodoh aja lihat after lebaran kaya,"['efek', 'efisiensi', 'ramadhan', 'perintah', 'kasi', 'stimulus', 'kali', 'engga', 'engga', 'peduli', 'daya', 'beli', 'turun', 'sektor', 'riil', 'laba', 'umkm', 'rugi', 'engga', 'peduli', 'bodoh', 'aja', 'lihat', 'after', 'lebaran', 'kaya']"
28,Thu Mar 13 22:28:43 +0000 2025,0,KompasTV,en,west java,0,0,0,@KompasTV Efisiensi my ass,efisiensi my ass,efisiensi my ass,"['efisiensi', 'my', 'ass']"
29,Thu Mar 13 22:24:50 +0000 2025,0,ssstarrrrrr,in,"Kota Manado, Sulawesi Utara",0,0,0,@ssstarrrrrr @NCTZONEofficial Harus dipertanggungjawabkan inisoalnya point gede gitu malah di efisiensi,dipertanggungjawabkan inisoalnya point gede gitu efisiensi,dipertanggungjawabkan inisoalnya point gede gitu efisiensi,"['dipertanggungjawabkan', 'inisoalnya', 'point', 'gede', 'gitu', 'efisiensi']"
30,Thu Mar 13 22:20:13 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 haha padahal dakpak efisiensi kerasa banget.,haha dakpak efisiensi kerasa banget,haha dakpak efisiensi rasa banget,"['haha', 'dakpak', 'efisiensi', 'rasa', 'banget']"
31,Thu Mar 13 22:19:23 +0000 2025,0,whendarkness_,in,,0,1,0,Seperti tubuh ketika sudah sangat lapar orang tidak butuh lagi makanan. Kebutunnya berubah menjadi infus dan pengobatan. Itu juga yang akan terjadi seandainya kebijakan efisiensi kelak direvisi,tubuh lapar orang butuh makanan kebutunnya berubah infus pengobatan seandainya kebijakan efisiensi kelak direvisi,tubuh lapar orang butuh makan butun ubah infus obat anda bijak efisiensi kelak revisi,"['tubuh', 'lapar', 'orang', 'butuh', 'makan', 'butun', 'ubah', 'infus', 'obat', 'anda', 'bijak', 'efisiensi', 'kelak', 'revisi']"
32,Thu Mar 13 22:18:44 +0000 2025,1,Dahnilanzar,in,nomaden,0,0,0,@Dahnilanzar Efisiensi tapi bikin proyek baru yang gak jelas. Koruptor harus diservis dengan perampasan aset bukan malah diminimalisir pengontrolannya agar hidup bebas?,efisiensi bikin proyek gak koruptor diservis perampasan aset diminimalisir pengontrolannya hidup bebas,efisiensi bikin proyek gak koruptor servis ampas aset diminimalisir kontrol hidup bebas,"['efisiensi', 'bikin', 'proyek', 'gak', 'koruptor', 'servis', 'ampas', 'aset', 'diminimalisir', 'kontrol', 'hidup', 'bebas']"
33,Thu Mar 13 22:18:29 +0000 2025,0,davenirvana,in,,0,1,0,@davenirvana @reyvanGali @barengwarga Kita butuh makan siang gratis kita butuh stafsus kita butuh wamen kita butuh mobil dinas kita butuh rumah dinas!!!! Kita perlu efisiensi anak anak itu harus kita pastikan makan bergizi gratis juga buat indonesaa titanium 2045!!!,butuh makan siang gratis butuh stafsus butuh wamen butuh mobil dinas butuh rumah dinas efisiensi anak anak pastikan makan bergizi gratis indonesaa titanium,butuh makan siang gratis butuh stafsus butuh wamen butuh mobil dinas butuh rumah dinas efisiensi anak anak pasti makan gizi gratis indonesaa titanium,"['butuh', 'makan', 'siang', 'gratis', 'butuh', 'stafsus', 'butuh', 'wamen', 'butuh', 'mobil', 'dinas', 'butuh', 'rumah', 'dinas', 'efisiensi', 'anak', 'anak', 'pasti', 'makan', 'gizi', 'gratis', 'indonesaa', 'titanium']"
34,Thu Mar 13 22:18:28 +0000 2025,3,Strategi_Bisnis,in,,0,0,0,@Strategi_Bisnis Sudah pasti anjlok lah...makan tuh efisiensi...,anjlok lahmakan tuh efisiensi,anjlok lahmakan tuh efisiensi,"['anjlok', 'lahmakan', 'tuh', 'efisiensi']"
35,Thu Mar 13 22:17:47 +0000 2025,0,alisyarief,in,,0,0,0,@alisyarief Duitnya dari manaaaa . Sekarang aja semua kudu efisiensi . Gosah ngayal yang deket2 aje noh tangkep . Masih ada space di cipinang buat die,duitnya manaaaa aja kudu efisiensi gosah ngayal deket aje noh tangkep space cipinang die,duit manaaaa aja kudu efisiensi gosah ngayal deket aje noh tangkep space cipinang die,"['duit', 'manaaaa', 'aja', 'kudu', 'efisiensi', 'gosah', 'ngayal', 'deket', 'aje', 'noh', 'tangkep', 'space', 'cipinang', 'die']"
36,Thu Mar 13 22:16:39 +0000 2025,0,_ningee,in,archived.,0,0,0,@_ningee kak.. aku gapapa? maaf ya aku kurang berat soalnya aku lagi kena efisiensi.. ,kak gapapa maaf ya berat kena efisiensi,kak gapapa maaf ya berat kena efisiensi,"['kak', 'gapapa', 'maaf', 'ya', 'berat', 'kena', 'efisiensi']"
37,Thu Mar 13 22:12:11 +0000 2025,0,GunRomli,in,Indonesia - USA ,0,0,0,@GunRomli 32T itu kecil utk kelas APBN sedangkan efisiensi di pertegas tp korupsi nya jalan. Sy g yakin nilai tekor nya cmn sgtu,t utk kelas apbn efisiensi pertegas tp korupsi nya jalan sy g nilai tekor nya cmn sgtu,t utk kelas apbn efisiensi tegas tp korupsi nya jalan sy g nilai tekor nya cmn sgtu,"['t', 'utk', 'kelas', 'apbn', 'efisiensi', 'tegas', 'tp', 'korupsi', 'nya', 'jalan', 'sy', 'g', 'nilai', 'tekor', 'nya', 'cmn', 'sgtu']"
38,Thu Mar 13 22:09:08 +0000 2025,0,BigAlphaID,es,,0,0,0,@BigAlphaID Percuma efisiensi,efisiensi,efisiensi,['efisiensi']
39,Thu Mar 13 22:08:22 +0000 2025,0,whendarkness_,in,,0,1,0,Fokus pada efisiensi kebijakan ini memang terkesan bertolak belakang dengan upaya menggenjot pertumbuhan ekonomi. Sampai saat ini arah efisiensi belum jelas ditujukan untuk apa. Publik butuh kepastian sehingga beberapa spekulasi muncul. Salah satunya untuk likuid Danantara,fokus efisiensi kebijakan terkesan bertolak upaya menggenjot pertumbuhan ekonomi arah efisiensi publik butuh kepastian spekulasi muncul salah satunya likuid danantara,fokus efisiensi bijak kes tolak upaya genjot tumbuh ekonomi arah efisiensi publik butuh pasti spekulasi muncul salah satu likuid danantara,"['fokus', 'efisiensi', 'bijak', 'kes', 'tolak', 'upaya', 'genjot', 'tumbuh', 'ekonomi', 'arah', 'efisiensi', 'publik', 'butuh', 'pasti', 'spekulasi', 'muncul', 'salah', 'satu', 'likuid', 'danantara']"
40,Thu Mar 13 22:08:11 +0000 2025,0,,in,"Kota Manado, Sulawesi Utara",0,6,0,Oi @NCTZONEofficial pointnya kena efisiensi juga khhh?????? https://t.co/zaev8NBjw1,oi pointnya kena efisiensi khhh,oi point kena efisiensi khhh,"['oi', 'point', 'kena', 'efisiensi', 'khhh']"
41,Thu Mar 13 22:06:34 +0000 2025,0,,in,dolf mania ☃︎ briize only .ᐟ,0,0,0,Efisiensi emang budaya orang Indonesia keknya ini efisiensi kata,efisiensi emang budaya orang indonesia keknya efisiensi,efisiensi emang budaya orang indonesia kek efisiensi,"['efisiensi', 'emang', 'budaya', 'orang', 'indonesia', 'kek', 'efisiensi']"
42,Thu Mar 13 22:06:18 +0000 2025,0,whendarkness_,in,,0,1,0,Berjalannya waktu setidaknya ada dua wacana besar yang bisa mempengaruhi: a. Pemberantasan korupsi b. Efisiensi,berjalannya wacana mempengaruhi a pemberantasan korupsi b efisiensi,jalan wacana pengaruh a berantas korupsi b efisiensi,"['jalan', 'wacana', 'pengaruh', 'a', 'berantas', 'korupsi', 'b', 'efisiensi']"
43,Thu Mar 13 22:06:08 +0000 2025,1,,in,Masih di Jakarta,0,0,0,Ngeliat APBN nyang dirilis marenan koq kayak kagak ngaruh yack nyang namanya efisiensi kuwi? Kunaon ada apa mengapa? Apa kagak perlu dievaluasi ulang? Udah berjalan berapa lama ntu yach? Telung sasi? https://t.co/pchwpdFpvB,ngeliat apbn nyang dirilis marenan koq kayak kagak ngaruh yack nyang namanya efisiensi kuwi kunaon kagak dievaluasi ulang udah berjalan ntu yach telung sasi,ngeliat apbn nyang rilis marenan koq kayak kagak ngaruh yack nyang nama efisiensi kuwi kunaon kagak evaluasi ulang udah jalan ntu yach tung sasi,"['ngeliat', 'apbn', 'nyang', 'rilis', 'marenan', 'koq', 'kayak', 'kagak', 'ngaruh', 'yack', 'nyang', 'nama', 'efisiensi', 'kuwi', 'kunaon', 'kagak', 'evaluasi', 'ulang', 'udah', 'jalan', 'ntu', 'yach', 'tung', 'sasi']"
44,Thu Mar 13 22:04:42 +0000 2025,1,,in,,0,0,0,Mau efisiensi skincare tolong buat kulitku jangan manja jangan matre,efisiensi skincare tolong kulitku manja matre,efisiensi skincare tolong kulit manja matre,"['efisiensi', 'skincare', 'tolong', 'kulit', 'manja', 'matre']"
45,Thu Mar 13 22:02:40 +0000 2025,0,Strategi_Bisnis,in,front computer,0,0,0,@Strategi_Bisnis Coretax + efisiensi anggaran + ekonomi turun. Tripel kill.,coretax efisiensi anggaran ekonomi turun tripel kill,coretax efisiensi anggar ekonomi turun tripel kill,"['coretax', 'efisiensi', 'anggar', 'ekonomi', 'turun', 'tripel', 'kill']"
46,Thu Mar 13 21:35:39 +0000 2025,0,sigit_wicaks,in,,0,0,0,@sigit_wicaks Sayangnya kenapa harus dilakukan seremoni seperti ini ditengah badai efisiensi hypocrite.,sayangnya seremoni ditengah badai efisiensi hypocrite,sayang seremoni tengah badai efisiensi hypocrite,"['sayang', 'seremoni', 'tengah', 'badai', 'efisiensi', 'hypocrite']"
47,Thu Mar 13 21:33:42 +0000 2025,0,InfosuporterID,in,Indonesia,0,0,0,@InfosuporterID Pak @prabowo masih ada walikota yg Plesiran ke Portugal ditengah2 efisiensi anggaran,walikota yg plesiran portugal ditengah efisiensi anggaran,walikota yg plesiran portugal tengah efisiensi anggar,"['walikota', 'yg', 'plesiran', 'portugal', 'tengah', 'efisiensi', 'anggar']"
48,Thu Mar 13 21:31:08 +0000 2025,4,,in,seputaran indonesia,0,1,2,Padahal sdh dipotong sana sini sampai 50% atas nama efisiensi..lha kok masih tekor ???,sdh dipotong nama efisiensilha tekor,sdh potong nama efisiensilha tekor,"['sdh', 'potong', 'nama', 'efisiensilha', 'tekor']"
49,Thu Mar 13 21:31:02 +0000 2025,0,,in,,0,1,0,ANJING KAMPUS GUE JUGA KENA COK. MULAI BESOK PEMBELAJARANNYA ONLINE KARENA EFISIENSI ANGGARAN DAN HEMAT LISTRIK. FUCK YOU WOWO. LIHATLAH KAWAN INI HASIL PILIHANMU INI KAN YANG KEMARIN KALIAN BANGGAIN? 02 VOTERS TAI LU SEMUA,anjing kampus gue kena cok besok pembelajarannya online efisiensi anggaran hemat listrik fuck you wowo lihatlah kawan hasil pilihanmu kemarin banggain voters tai lu,anjing kampus gue kena cok besok ajar online efisiensi anggar hemat listrik fuck you wowo lihat kawan hasil pilih kemarin banggain voters tai lu,"['anjing', 'kampus', 'gue', 'kena', 'cok', 'besok', 'ajar', 'online', 'efisiensi', 'anggar', 'hemat', 'listrik', 'fuck', 'you', 'wowo', 'lihat', 'kawan', 'hasil', 'pilih', 'kemarin', 'banggain', 'voters', 'tai', 'lu']"
50,Thu Mar 13 21:30:26 +0000 2025,0,kompascom,in,,0,0,0,@kompascom Selama lingkaranya ga ada yg di bereskan koruptornya. kagak ada yg percaya cuma OMON OMON mirip efisiensi tp malah buat kabinet gemuk. di tunda CASN tp ngangkat konco2nya masuk kabinet cepet banget.,lingkaranya ga yg bereskan koruptornya kagak yg percaya omon omon efisiensi tp kabinet gemuk tunda casn tp ngangkat konconya masuk kabinet cepet banget,lingkaranya ga yg beres koruptor kagak yg percaya omon omon efisiensi tp kabinet gemuk tunda casn tp ngangkat konco masuk kabinet cepet banget,"['lingkaranya', 'ga', 'yg', 'beres', 'koruptor', 'kagak', 'yg', 'percaya', 'omon', 'omon', 'efisiensi', 'tp', 'kabinet', 'gemuk', 'tunda', 'casn', 'tp', 'ngangkat', 'konco', 'masuk', 'kabinet', 'cepet', 'banget']"
51,Thu Mar 13 21:29:30 +0000 2025,0,,in,firstly please read my carrd →,0,1,0,sebel banget sama efisiensi efisiensi iniii anjrrr anjrrr fak,sebel banget efisiensi efisiensi iniii anjrrr anjrrr fak,sebel banget efisiensi efisiensi iniii anjrrr anjrrr fak,"['sebel', 'banget', 'efisiensi', 'efisiensi', 'iniii', 'anjrrr', 'anjrrr', 'fak']"
